"","artist","date","year","month","quarter","half","auction_house","ah_code","title","medium","med_group","med_code","signed","dum_signed","dum_dated","dum_titled","price","size_framed","area","price_area","er","pound_price","nr_works","hammer_price","timedummy","lnprice","lnarea","lnarea2","lnsculpt_area","counter","rank_all","rank_total","reputation","lnrep","id"
"352","Altman, Gerard",2001-03-27,2001,3,1,1,"Stephan Welz & Co","Stephan Welz","View Of A Marsh With A Church In The Distance","oil on canvas","Oil","Oil","signed & dated 1904","1","1","0",2400,"33cm x 50cm",1650,1.45,NA,NA,1,2400,"2001 Q1",7.78322401633604,7.40853056689463,54.886325160612,0,5,170,867,0.0506184530349651,-2.98343908468447,808
"354","Altman, Gerard",2007-04-17,2007,4,2,1,"Stephan Welz & Co","Stephan Welz","View Of A Marsh With A Church In The Distance","oil on canvas","Oil","Oil","signed & dated 1904","1","1","0",4500,"33cm x 50cm",1650,2.73,NA,NA,1,4500,"2007 Q2",8.41183267575841,7.40853056689463,54.886325160612,0,30,170,867,0.0506184530349651,-2.98343908468447,808
"395","Ampenberger, Iris",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Off to Town","oil on canvas board","Oil","Oil","signed","1","0","0",10000,"39cm x 49,5cm",1931,5.18,NA,NA,1,10000,"2011 Q3",9.21034037197618,7.56579328242851,57.2412279924404,0,47,122,181,0.1591414222927,-1.83796202370496,354
"405","Ampenberger, Iris",2007-11-20,2007,11,4,2,"Stephan Welz & Co","Stephan Welz","Two Women","watercolour","Watercolour","Watercolour","signed","1","0","0",3000,"47cm x 32cm",1504,1.99,NA,NA,1,3000,"2007 Q4",8.00636756765025,7.31588350450979,53.5221514515584,0,32,122,181,0.1591414222927,-1.83796202370496,302
"413","Ampenberger, Iris",2009-10-22,2009,10,4,2,"Stephan Welz & Co","Stephan Welz","Irises In A Vase","oil on card laid down on board","Oil","Oil","signed and dated 75","1","1","0",9000,"59.5cm x 48cm",2856,3.15,NA,NA,1,9000,"2009 Q4",9.10497985631836,7.95717732345947,63.3166709569777,0,40,122,181,0.1591414222927,-1.83796202370496,893
"414","Ampenberger, Iris",2008-08-06,2008,8,3,2,"Stephan Welz & Co","Stephan Welz","Irises In A Vase","oil on canvas laid down on board","Oil","Oil","signed & dated 75","1","1","0",13000,"59.5cm x 48cm",2856,4.55,NA,NA,1,13000,"2008 Q3",9.47270463644367,7.95717732345947,63.3166709569777,0,35,122,181,0.1591414222927,-1.83796202370496,893
"420","Ampenberger, Iris",2013-02-19,2013,2,1,1,"Stephan Welz & Co","Stephan Welz","Two Women","watercolour on paper","Watercolour","Watercolour","Signed","1","0","0",7000,"47cm x 32cm",1504,4.65,NA,NA,1,7000,"2013 Q1",8.85366542803745,7.31588350450979,53.5221514515584,0,53,122,181,0.1591414222927,-1.83796202370496,302
"423","Ampenberger, Iris",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Off to Town","oil on canvas board","Oil","Oil","signed","1","0","0",10000,"39cm x 49.5cm",1931,5.18,NA,NA,1,10000,"2011 Q3",9.21034037197618,7.56579328242851,57.2412279924404,0,47,122,181,0.1591414222927,-1.83796202370496,354
"599","Amshewitz, John Henry",2011-09-17,2011,9,3,2,"Russell Kaplan","Russell Kaplan","Mandolin player","oil on canvas","Oil","Oil","signed","1","0","0",6500,"60cm x 50cm",3000,2.17,NA,NA,1,6500,"2011 Q3",8.77955745588373,8.00636756765025,64.1019216283217,0,47,110,150,0.175962250357173,-1.7374857935565,473
"635","Amshewitz, John Henry",2011-09-17,2011,9,3,2,"Russell Kaplan","Russell Kaplan","Mandolin player","oil on canvas","Oil","Oil","signed","1","0","0",6500,"60cm x 50cm",3000,2.17,NA,NA,1,6500,"2011 Q3",8.77955745588373,8.00636756765025,64.1019216283217,0,47,110,150,0.175962250357173,-1.7374857935565,473
"809","Andersen, Nils",2008-04-03,2008,4,2,1,"Bernardi","Bernardi","Storm clouds & rain above an expansive landscape","Watercolour","Watercolour","Watercolour","signed  ","1","0","0",1750,"24cm x 35cm",840,2.08,NA,NA,1,1750,"2008 Q2",7.46737106691756,6.73340189183736,45.3387010369989,0,34,55,60,0.10639347789415,-2.24061100194071,201
"836","Andersen, Nils",2008-02-05,2008,2,1,1,"Bernardi","Bernardi","Storm clouds & rain above an expansive landscape","Watercolour","Watercolour","Watercolour","signed","1","0","0",1750,"24cm x 35cm",840,2.08,NA,NA,1,1750,"2008 Q1",7.46737106691756,6.73340189183736,45.3387010369989,0,33,55,60,0.10639347789415,-2.24061100194071,201
"899","Andrews, Raymond Hillary",2011-09-19,2011,9,3,2,"Bernardi","Bernardi","To catch the sun","Oil & gold leaf on birch panel","Oil","Oil","signed with the artist's monogram - signed again on the reverse ","1","0","0",20000,"123.5cm x 89.5cm",11053,1.81,NA,NA,1,20000,"2011 Q3",9.90348755253613,9.31045716331096,86.6846125898483,0,47,112,155,0.225352572000148,-1.49008911655296,638
"909","Andrews, Raymond Hillary",2011-09-19,2011,9,3,2,"Bernardi","Bernardi","To catch the sun","Oil & gold leaf on birch panel","Oil","Oil","signed with the artist's monogram - signed again on the reverse ","1","0","0",20000,"123.5cm x 89.5cm",11053,1.81,NA,NA,1,20000,"2011 Q3",9.90348755253613,9.31045716331096,86.6846125898483,0,47,112,155,0.225352572000148,-1.49008911655296,638
"1019","Arenson, Ryan",2011-09-17,2011,9,3,2,"Russell Kaplan","Russell Kaplan","Landscape ","pencil on paper","Drawing","Drawing","signed","1","0","0",400,"13cm x 21cm",273,1.47,NA,NA,1,400,"2011 Q3",5.99146454710798,5.60947179518496,31.4661738209756,0,47,172,1325,0.113533580302993,-2.17565662411874,77
"1020","Arenson, Ryan",2011-09-17,2011,9,3,2,"Russell Kaplan","Russell Kaplan","Landscape ","pencil on paper","Drawing","Drawing","signed","1","0","0",400,"13cm x 21cm",273,1.47,NA,NA,1,400,"2011 Q3",5.99146454710798,5.60947179518496,31.4661738209756,0,47,172,1325,0.113533580302993,-2.17565662411874,77
"1148","Badenhorst, Francois",2009-11-22,2009,11,4,2,"5th avenue ","5th Avenue","Baobab Landscape","Oil","Oil","Oil","Signed","1","0","0",1600,"45cm x 60cm",2700,0.59,NA,NA,1,1600,"2009 Q4",7.37775890822787,7.90100705199242,62.425912435634,0,40,114,159,0.0438249729841524,-3.12755146462335,431
"1151","Badenhorst, Francois",2015-03-15,2015,3,2,1,"5th Ave Auctioneers","5th Avenue","Baobab Landscape","Oil","Oil","Oil","Signed","1","0","0",2100,"45cm x 60cm",2700,0.78,NA,NA,1,2100,"2015 Q1",7.64969262371151,7.90100705199242,62.425912435634,0,61,114,159,0.0438249729841524,-3.12755146462335,431
"1153","Badenhorst, Francois",2015-06-21,2015,6,2,1,"5th Ave Auctioneers","5th Avenue","Bushveld Landscape","Oil","Oil","Oil","Signed","1","0","0",1300,"30cm x 60cm",1800,0.72,NA,NA,1,1300,"2015 Q2",7.17011954344963,7.49554194388426,56.1831490325282,0,62,114,159,0.0438249729841524,-3.12755146462335,341
"1164","Badenhorst, Francois",2015-06-21,2015,6,2,1,"5th Ave Auctioneers","5th Avenue","Bushveld Landscape","Oil","Oil","Oil","Signed","1","0","0",1300,"30cm x 60cm",1800,0.72,NA,NA,1,1300,"2015 Q2",7.17011954344963,7.49554194388426,56.1831490325282,0,62,114,159,0.0438249729841524,-3.12755146462335,341
"1167","Badenhorst, Francois",2008-04-03,2008,4,2,1,"Bernardi","Bernardi","Landscape with trees & a fenced farmstead in the distance","Oil on board","Oil","Oil","signed ","1","0","0",2200,"57cm x 87.5cm",4988,0.44,NA,NA,1,2200,"2008 Q2",7.69621263934641,8.51479030679993,72.501653968774,0,34,114,159,0.0438249729841524,-3.12755146462335,551
"1179","Badenhorst, Francois",2008-02-05,2008,2,1,1,"Bernardi","Bernardi","Landscape with trees & a fenced farmstead in the distance","Oil on board","Oil","Oil","signed","1","0","0",2200,"57cm x 87.5cm",4988,0.44,NA,NA,1,2200,"2008 Q1",7.69621263934641,8.51479030679993,72.501653968774,0,33,114,159,0.0438249729841524,-3.12755146462335,551
"1181","Badenhorst, Francois",2014-02-16,2014,2,1,1,"5th Avenue","5th Avenue","Baobab Landscape","Oil","Oil","Oil","signed","1","0","0",1700,"45cm x 60cm",2700,0.63,NA,NA,1,1700,"2014 Q1",7.43838353004431,7.90100705199242,62.425912435634,0,57,114,159,0.0438249729841524,-3.12755146462335,431
"1190","Badenhorst, Francois",2014-12-07,2014,12,4,2,"5th Avenue","5th Avenue","Bushveld Landscapes","Oils x 2","Oil","Oil","signed","1","0","0",1800,"34cm x 44cm each",1496,1.2,NA,NA,2,3600,"2014 Q4",7.49554194388426,7.31055015853442,53.4441436204477,0,60,114,159,0.0438249729841524,-3.12755146462335,298
"1198","Badenhorst, Francois",2014-12-07,2014,12,4,2,"5th Avenue","5th Avenue","Bushveld Landscapes","Oils x 2","Oil","Oil","signed","1","0","0",1500,"34cm x 44cm each",1496,1,NA,NA,2,3000,"2014 Q4",7.3132203870903,7.31055015853442,53.4441436204477,0,60,114,159,0.0438249729841524,-3.12755146462335,298
"1238","Bailey, Beezy",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Three Men in a Tub","oil on canvas","Oil","Oil","signed and dated '06, inscribed with the title on the reverse and on the stretcher","1","1","1",25000,"51cm x 71cm",3621,6.9,NA,NA,1,25000,"2011 Q3",10.1266311038503,8.19450550976564,67.1499205495794,0,47,116,164,0.268523444852392,-1.3148170509592,923
"1245","Bailey, Beezy",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Tropical Elephant","oil on canvas","Oil","Oil","signed and dated 06, inscribed with the title on the reverse and on the stretcher","1","1","1",16000,"101cm x 101cm",10201,1.57,NA,NA,1,16000,"2011 Q3",9.68034400122192,9.23024103368252,85.1973495398765,0,47,116,164,0.268523444852392,-1.3148170509592,985
"1256","Bailey, Beezy",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Three Men in a Tub","oil on canvas","Oil","Oil","signed and dated '06, inscribed with the title on the reverse and on the stretcher","1","1","1",25000,"51cm x 71cm",3621,6.9,NA,NA,1,25000,"2011 Q3",10.1266311038503,8.19450550976564,67.1499205495794,0,47,116,164,0.268523444852392,-1.3148170509592,923
"1257","Bailey, Beezy",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Tropical Elephant","oil on canvas","Oil","Oil","signed and dated 06, inscribed with the title on the reverse and on the stretcher","1","1","1",16000,"101cm x 101cm",10201,1.57,NA,NA,1,16000,"2011 Q3",9.68034400122192,9.23024103368252,85.1973495398765,0,47,116,164,0.268523444852392,-1.3148170509592,985
"1259","Bailey, Beezy",2009-07-17,2009,7,3,2,"Ashbeys","Ashbeys","Female nude","mixed media on paper","Mixed media","Mixed Media","signed & dated 92","1","1","0",2800,"35cm x 25cm",875,3.2,NA,NA,1,2800,"2009 Q3",7.9373746961633,6.77422388635761,45.8901092624981,0,39,116,164,0.268523444852392,-1.3148170509592,730
"1262","Bailey, Beezy",2009-07-17,2009,7,3,2,"Ashbeys","Ashbeys","Female nude","mixed media on paper","Mixed media","Mixed Media","signed & dated 92","1","1","0",3000,"35cm x 25cm",875,3.43,NA,NA,1,3000,"2009 Q3",8.00636756765025,6.77422388635761,45.8901092624981,0,39,116,164,0.268523444852392,-1.3148170509592,730
"1277","Bailey, Beezy",2004-11-15,2004,11,4,2,"Stephan Welz & Co","Stephan Welz","The Scholar","oil on board","Oil","Oil","signed & dated 04","1","1","0",12000,"45cm x 53cm",2385,5.03,NA,NA,1,12000,"2004 Q4",9.39266192877014,7.77695440332244,60.4810197913563,0,20,116,164,0.268523444852392,-1.3148170509592,867
"1286","Bailey, Beezy",2013-11-11,2013,11,4,2,"Strauss & Co","Strauss","The Scholar","oil and enamel on canvas","Oil","Oil","signed and dated 04","1","1","0",16000,"45cm x 53cm",2385,6.71,NA,NA,1,16000,"2013 Q4",9.68034400122192,7.77695440332244,60.4810197913563,0,56,116,164,0.268523444852392,-1.3148170509592,867
"1336","Baker, Kenneth",2015-10-04,2015,10,4,2,"5th Avenue","5th Avenue","At the Fish Market","Oil","Oil","Oil","signed & dated '69","1","1","0",9500,"55cm x 40cm",2200,4.32,NA,NA,1,9500,"2015 Q4",9.15904707758863,7.69621263934641,59.2316889900354,0,64,31,34,0.133657590324999,-2.01247404545467,856
"1338","Baker, Kenneth",2004-03-30,2004,3,1,1,"Stephan Welz & Co","Stephan Welz","Malay Quarter","oil on canvas laid down on board","Oil","Oil","signed ","1","0","0",3800,"60.5cm x 45cm",2723,1.4,NA,NA,1,3800,"2004 Q1",8.24275634571448,7.90948949267376,62.5600240347166,0,17,31,34,0.133657590324999,-2.01247404545467,443
"1414","Baker, Kenneth",2005-03-22,2005,3,1,1,"Stephan Welz & Co","Stephan Welz","Malay Quarter","oil on canvas laid down on board","Oil","Oil","signed","1","0","0",2800,"60.5cm x 45cm",2723,1.03,NA,NA,1,2800,"2005 Q1",7.9373746961633,7.90948949267376,62.5600240347166,0,21,31,34,0.133657590324999,-2.01247404545467,443
"1456","Baker, Kenneth",2015-09-06,2015,9,3,2,"5th Avenue","5th Avenue","Protesting Youth","Oil","Oil","Oil","signed & dated '90","1","1","0",10000,"60cm x 44cm",2640,3.79,NA,NA,1,10000,"2015 Q3",9.21034037197618,7.87853419614036,62.0713010797531,0,63,31,34,0.133657590324999,-2.01247404545467,881
"1581","Baker, Kenneth",2014-12-07,2014,12,4,2,"5th Avenue","5th Avenue","Protesting Youth","Oil","Oil","Oil","signed & dated '90","1","1","0",15000,"60cm x 44cm",2640,5.68,NA,NA,1,15000,"2014 Q4",9.61580548008435,7.87853419614036,62.0713010797531,0,60,31,34,0.133657590324999,-2.01247404545467,881
"1588","Baker, Kenneth",2015-02-08,2015,2,1,1,"5th Ave Auctioneers","5th Avenue","At the Fish Market","Oil","Oil","Oil","Signed & Dated '60","1","1","0",10000,"55cm x 40cm",2200,4.55,NA,NA,1,10000,"2015 Q1",9.21034037197618,7.69621263934641,59.2316889900354,0,61,31,34,0.133657590324999,-2.01247404545467,856
"1637","Baldinelli, Armando",2014-02-10,2014,2,1,1,"Bernardi","Bernardi","Remembrances","Oil on canvas","Oil","Oil","signed, dated 1978 & titled by the artist ","1","1","1",23000,"80cm x 73.5cm",5880,3.91,NA,NA,1,23000,"2014 Q1",10.0432494949113,8.67931204089267,75.3304575031845,0,57,134,232,0.181059630604832,-1.7089288511179,960
"1658","Baldinelli, Armando",2012-11-26,2012,11,4,2,"Bernardi","Bernardi","Remembrances","Oil on canvas","Oil","Oil","Signed  Dated 1978 & Titled on a letter by the artist   ","1","1","1",16000,"80cm x 73.5cm",5880,2.72,NA,NA,1,16000,"2012 Q4",9.68034400122192,8.67931204089267,75.3304575031845,0,52,134,232,0.181059630604832,-1.7089288511179,960
"1688","Ballen, Roger",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Sitting Room, from the Shadow Chamber series","black and white photograph, selenium-toned archival print on Ilford 24K Silver Gelatine paper","Photograph","Photography","signed, dated 2002 and numbered 3/20 on the reverse","1","1","0",8000,"36cm x 36cm",1296,6.17,NA,NA,1,8000,"2011 Q3",8.98719682066197,7.16703787691222,51.3664319290944,0,47,153,353,1.09732509762884,0.0928754889200408,778
"1689","Ballen, Roger",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Bitten, from the Shadow Chamber series","black and white photograph, selenium-toned archival print on Ilford 24K Silver Gelatine paper","Photograph","Photography","signed, dated 2004 and numbered 11/20 on the reverse","1","1","0",13000,"36cm x 36cm",1296,10.03,NA,NA,1,13000,"2011 Q3",9.47270463644367,7.16703787691222,51.3664319290944,0,47,153,353,1.09732509762884,0.0928754889200408,777
"1694","Ballen, Roger",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Sitting Room, from the Shadow Chamber series","black and white photograph, selenium-toned archival print on Ilford 24K Silver Gelatine paper","Photograph","Photography","signed, dated 2002 and numbered 3/20 on the reverse","1","1","0",8000,"36cm x 36cm",1296,6.17,NA,NA,1,8000,"2011 Q3",8.98719682066197,7.16703787691222,51.3664319290944,0,47,153,353,1.09732509762884,0.0928754889200408,778
"1704","Ballen, Roger",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","Bitten, from the Shadow Chamber series","black and white photograph, selenium-toned archival print on Ilford 24K Silver Gelatine paper","Photograph","Photography","signed, dated 2004 and numbered 11/20 on the reverse","1","1","0",13000,"36cm x 36cm",1296,10.03,NA,NA,1,13000,"2011 Q3",9.47270463644367,7.16703787691222,51.3664319290944,0,47,153,353,1.09732509762884,0.0928754889200408,777
"1831","Batha, Gerhard",2011-02-05,2011,2,1,1,"Russell Kaplan","Russell Kaplan","Karoo town scene","gouache on paper","Watercolour","Watercolour","signed","1","0","0",4500,"68.5cm x 96cm",6576,0.68,NA,NA,1,4500,"2011 Q1",8.41183267575841,8.79118193673602,77.2848798447936,0,45,114,160,0.169629165957715,-1.77414060131903,608
"1850","Batha, Gerhard",2012-03-31,2012,3,1,1,"Russell Kaplan","Russell Kaplan","Karoo town scene","gouache on paper","Watercolour","Watercolour","signed ","1","0","0",4000,"68,5cm x 96cm",6576,0.61,NA,NA,1,4000,"2012 Q1",8.29404964010203,8.79118193673602,77.2848798447936,0,49,114,160,0.169629165957715,-1.77414060131903,608
"1869","Batha, Gerhard",2011-02-05,2011,2,1,1,"Russell Kaplan","Russell Kaplan","Karoo town scene","gouache on paper","Watercolour","Watercolour","signed","1","0","0",4500,"68.5cm x 96cm",6576,0.68,NA,NA,1,4500,"2011 Q1",8.41183267575841,8.79118193673602,77.2848798447936,0,45,114,160,0.169629165957715,-1.77414060131903,608
"1906","Battiss, Walter Whall",2012-06-11,2012,6,2,1,"Strauss & Co","Strauss","Nudes","screenprint in colour","Print/woodcut","Print/Woodcut","signed, numbered 5/30 and inscribed with the title in pencil in the margin","1","0","1",45000,"41cm x 60cm",2460,18.29,NA,NA,1,45000,"2012 Q2",10.7144177687525,7.80791662892641,60.9635620842655,0,50,1,1,1,0,401
"1911","Battiss, Walter Whall",2012-06-11,2012,6,2,1,"Strauss & Co","Strauss","Females","screenprint in colour","Print/woodcut","Print/Woodcut","signed, numbered 20/30 and inscribed with the title in pencil in the margin","1","0","1",19000,"41cm x 55,5cm",2276,8.35,NA,NA,1,19000,"2012 Q2",9.85219425814858,7.73017479524622,59.75560236506,0,50,1,1,1,0,390
"1914","Battiss, Walter Whall",2013-05-20,2013,5,2,1,"Strauss & Co","Strauss","Mural","oil on canvas","Oil","Oil","Signed  Elbie Kachelhoffer, Hoffer Gallery, Pretoria Schoonraad, Murray.","1","0","0",6e+05,"122cm x 56cm",6832,87.82,NA,NA,1,6e+05,"2013 Q2",13.3046849341983,8.82937273546841,77.9578229018328,0,54,1,1,1,0,614
"1999","Battiss, Walter Whall",2011-10-19,2011,10,4,2,"Stephan Welz & Co","Stephan Welz","Goddess","silkscreen printed in colours","Print/woodcut","Print/Woodcut","signed, numbered 17/25 and inscribed with the title in pencil in the margin","1","0","1",16000,"45cm x 64cm sheet size",2880,5.56,NA,NA,1,16000,"2011 Q4",9.68034400122192,7.96554557312999,63.4499162776108,0,48,1,1,1,0,461
"2052","Battiss, Walter Whall",2012-11-20,2012,11,4,2,"Stephan Welz & Co","Stephan Welz","Island God","lithograph","Print/woodcut","Print/Woodcut","lithograph printed in colours, Signed, numbered 11/30 and inscribed with the Title in pencil","1","0","1",10000,"43cm x 62cm sheet size",2666,3.75,NA,NA,1,10000,"2012 Q4",9.21034037197618,7.88833450073865,62.2258211955437,0,52,1,1,1,0,422
"2081","Battiss, Walter Whall",2007-12-12,2007,12,4,2,"Bernardi","Bernardi","Seychelles","Silkscreen","Print/woodcut","Print/Woodcut","signed in pencil inscribed with the title & numbered 35/45 ","1","0","1",4000,"64cm x 90cm",5760,0.69,NA,NA,1,4000,"2007 Q4",8.29404964010203,8.65869275368994,74.9729602028026,0,32,1,1,1,0,591
"2099","Battiss, Walter Whall",2015-03-23,2015,3,2,1,"Bernardi","Bernardi","Athens","Pen & ink","Drawing","Drawing","signed, inscribed with the title & date 11.6.68 ","1","1","1",20000,"37cm x 46cm",1702,11.75,NA,NA,1,20000,"2015 Q1",9.90348755253613,7.43955930913332,55.3470427141122,0,61,1,1,1,0,816
"2108","Battiss, Walter Whall",2013-11-04,2013,11,4,2,"Bernardi","Bernardi","Erotic Collage","Lithograph","Print/woodcut","Print/Woodcut","signed in the image & dated 1972 signed again in pencil & numbered 1117/250    ","1","1","0",3500,"20cm x 25.5cm sheet size",510,6.86,NA,NA,1,3500,"2013 Q4",8.1605182474775,6.23441072571837,38.8678770969523,0,56,1,1,1,0,693
"2113","Battiss, Walter Whall",2002-05-13,2002,5,2,1,"Stephan Welz & Co","Stephan Welz","Zook Island Stamp Issue: Self Portrait: Alpha Batt 155, In A Marginal Block Of 9 With A Colour Guide","screenprint in colour","Print/woodcut","Print/Woodcut","signed & numbered 219/250 in pencil in the margin","1","0","0",1000,"25.5cm x 21.5cm",548,1.82,NA,NA,1,1000,"2002 Q2",6.90775527898214,6.30627528694802,39.7691079947713,0,10,1,1,1,0,129
"2167","Battiss, Walter Whall",2010-03-23,2010,3,1,1,"Bonhams","Bonhams","Mural","oil on canvas","Oil","Oil","signed Battiss","1","0","0",223536,"122cm x 56cm",6832,32.72,11.1768,20000,1,223536,"2010 Q1",12.3173277538903,8.82937273546841,77.9578229018328,0,41,1,1,1,0,614
"2176","Battiss, Walter Whall",2014-08-02,2014,8,3,2,"Russell Kaplan","Russell Kaplan","Limpopo","screenprint","Print/woodcut","Print/Woodcut","signed edition 91/200","1","0","0",3000,"29.5cm x 23cm",679,4.42,NA,NA,1,3000,"2014 Q3",8.00636756765025,6.5206211275587,42.5184998891648,0,59,1,1,1,0,161
